id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,color,quantity_to_sell_on_facebook
470338561,"Pearl Gold Minifigure, Headgear Helmet Ninja / Samurai with Clip and Long Visor",PART 98128,In Stock,Used,1.73 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338561"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/115/98128.png,Lego,3287,47,Pearl Gold,1
469990261,"(Not Applicable) Wolverine - Hair, Dark Blue Hands",MINIFIG sh0017,In Stock,New,47.72 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""469990261"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/0/sh0017.png,Lego,3287,47,(Not Applicable),1
470338590,"Dark Red Torso Armor with White Circle Arc Reactor, Gold Panels Pattern (Iron Man Mark 7) / Dark Red Arms / Dark Red Hands",PART 973pb1101c01,In Stock,Used,3.79 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338590"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/59/973pb1101c01.png,Lego,3287,47,Dark Red,1
470338616,Lime Hips and Legs with Dark Green Scales Pattern (Lizaru),PART 970c00pb0178,In Stock,Used,1.41 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338616"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/34/970c00pb0178.png,Lego,3287,47,Lime,1
470338618,Black Torso Ninjago Snake with Orange Scales Pattern (Bytar) / Dark Bluish Gray Arms / Black Hands,PART 973pb1195c01,In Stock,Used,1.21 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338618"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/11/973pb1195c01.png,Lego,3287,47,Black,1
470338669,(Not Applicable) Longtooth - Armor,MINIFIG loc012,In Stock,Used,2.90 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338669"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/0/loc012.png,Lego,3287,47,(Not Applicable),1
470338683,"Dark Red Minifigure, Visor Top Hinge with Gold Face Shield, Medium Blue Eyes, Silver Chin Pattern (Iron Man Mark 17)",PART 10908pb02,In Stock,Used,6.21 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338683"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/59/10908pb02.png,Lego,3287,47,Dark Red,1
470338700,Dark Bluish Gray Hips and Legs with Iron Man Silver Knee Plates and Boots Pattern,PART 970c00pb0237,In Stock,Used,1.82 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338700"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/85/970c00pb0237.png,Lego,3287,47,Dark Bluish Gray,1
470338852,"Dark Bluish Gray Brick, Round 2 x 2 Dome Top with Black Spots on Tan Pattern (Buzz Droid)",PART 553pb019,In Stock,Used,1.40 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338852"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/85/553pb019.png,Lego,3287,47,Dark Bluish Gray,1
470338854,"Dark Bluish Gray Torso Suit Jacket Buttoned with Lapels, Pockets, White Shirt, and Red Tie Pattern / Dark Bluish Gray Arms / Yellow Hands",PART 973pb1614c01,In Stock,Used,2.84 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338854"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/85/973pb1614c01.png,Lego,3287,47,Dark Bluish Gray,1
470338865,"Red Minifigure, Headgear Mask The Flash with Yellow Wings Pattern",PART 15554pb01,In Stock,Used,2.03 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338865"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/5/15554pb01.png,Lego,3287,47,Red,1
470510270,Black Slope 45 2 x 2 with Silver Control Panel and Screen Pattern,PART 3039pb076,In Stock,New,1.11 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470510270"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/11/3039pb076.png,Lego,3287,47,Black,1
470338888,"Light Nougat Minifigure, Head Dual Sided Brown Eyebrows, White Pupils, Smile with Teeth / Scared Pattern (Ray Stantz)",PART 3626pb1128,In Stock,Used,3.11 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338888"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/90/3626pb1128.png,Lego,3287,47,Light Nougat,1
470338890,(Not Applicable) Batman - Black Suit with Copper Belt (Type 2 Cowl),MINIFIG sh0132,In Stock,Used,45.68 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338890"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/0/sh0132.png,Lego,3287,47,(Not Applicable),1
470338929,"White Tile 2 x 2 with Minifigure, Arrow, Ruler and Molecule (Brainstein's Classified Notes) Pattern",PART 3068pb0905,In Stock,Used,2.68 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338929"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/1/3068pb0905.png,Lego,3287,47,White,1
470339044,"White Minifigure, Headgear Helmet Space with Trans-Light Blue Visor and Ear Protectors",PART 19023c01,In Stock,Used,2.95 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470339044"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/1/19023c01.png,Lego,3287,47,White,1
470339045,Lime Torso Female Silver and Gold Space Armor with Green Dirt and Belt Buckle with Ultra Agent Toxic Pattern / Lime Arms / Bright Green Hands,PART 973pb1967c01,In Stock,Used,1.83 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470339045"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/34/973pb1967c01.png,Lego,3287,47,Lime,1
470339046,"Dark Purple Minifigure, Head, Modified Snake Short Neck with Open Mouth with White Fangs and Red Eyes Pattern",PART bb0662pb01,In Stock,Used,1.67 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470339046"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/89/bb0662pb01.png,Lego,3287,47,Dark Purple,1
470339110,Black Large Figure Head Modified SW Kylo Ren Pattern,PART 24899pb01,In Stock,Used,1.31 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470339110"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/11/24899pb01.png,Lego,3287,47,Black,1
